icd9_code,icd10_code,approximate,no_map,combination,scenario,choice_list
01335,A1781,1,0,0,0,0
01336,A1781,1,0,0,0,0
01340,A1781,1,0,0,0,0
01341,A1781,1,0,0,0,0
01342,A1781,1,0,0,0,0
01343,A1781,1,0,0,0,0
01344,A1781,1,0,0,0,0
01345,A1781,1,0,0,0,0
01346,A1781,1,0,0,0,0
01350,A1781,1,0,0,0,0
01351,A1781,1,0,0,0,0
01352,A1781,1,0,0,0,0
01353,A1781,1,0,0,0,0
01354,A1781,1,0,0,0,0
01355,A1781,1,0,0,0,0
01356,A1781,1,0,0,0,0
01360,A1782,1,0,0,0,0
01361,A1782,1,0,0,0,0
01362,A1782,1,0,0,0,0
01363,A1782,1,0,0,0,0
01364,A1782,1,0,0,0,0
01365,A1782,1,0,0,0,0
01366,A1782,1,0,0,0,0
01380,A1789,1,0,0,0,0
01381,A1789,1,0,0,0,0
01382,A1789,1,0,0,0,0
01383,A1789,1,0,0,0,0
01384,A1789,1,0,0,0,0
01385,A1789,1,0,0,0,0
01386,A1789,1,0,0,0,0
01390,A179,1,0,0,0,0
01391,A179,1,0,0,0,0
01392,A179,1,0,0,0,0
01393,A179,1,0,0,0,0
01394,A179,1,0,0,0,0
01395,A179,1,0,0,0,0
01396,A179,1,0,0,0,0
01400,A1831,1,0,0,0,0
01401,A1831,1,0,0,0,0
01402,A1831,1,0,0,0,0
01403,A1831,1,0,0,0,0
01404,A1831,1,0,0,0,0
01405,A1831,1,0,0,0,0
01406,A1831,1,0,0,0,0
01480,A1832,1,0,0,0,0
01480,A1839,1,0,0,0,0
01481,A1832,1,0,0,0,0
01481,A1839,1,0,0,0,0
01482,A1832,1,0,0,0,0
01482,A1839,1,0,0,0,0
01483,A1832,1,0,0,0,0
01483,A1839,1,0,0,0,0
01484,A1832,1,0,0,0,0
01484,A1839,1,0,0,0,0
01485,A1832,1,0,0,0,0
01485,A1839,1,0,0,0,0
01486,A1832,1,0,0,0,0
01486,A1839,1,0,0,0,0
01500,A1801,1,0,0,0,0
01501,A1801,1,0,0,0,0
01502,A1801,1,0,0,0,0
01503,A1801,1,0,0,0,0
01504,A1801,1,0,0,0,0
01505,A1801,1,0,0,0,0
